State,Population of Blind Children,Latitude,Longitude
Andaman And Nicobar,140,11.66702557	,92.73598262
Andhra Pradesh,51755,14.7504291,78.57002559
Arunachal Pradesh,735,27.10039878,93.61660071
Assam,10471,26.7499809,94.21666744
Bihar,71380,25.78541445,87.4799727
Chandigarh,231,	30.71999697,76.78000565
Chhattisgarh,14451,22.09042035,82.15998734
Dadra And Nagar Haveli,55,20.26657819,73.0166178
Delhi,3916,28.6699929,77.23000403
Goa,645,15.491997,73.81800065
Haryana,10751,28.45000633,77.01999101
Himachal Pradesh,3389,31.10002545,77.16659704
Jammu And Kashmir,8638,	34.29995933,74.46665849
Jharkhand,23493,23.80039349,86.41998572
Karnataka,34342,12.57038129,76.91999711
Kerala,15016,8.900372741,76.56999263
Lakshadweep,44,10.56257331,72.63686717
Madhya Pradesh,35198,21.30039105,76.13001949
Maharashtra,74626,19.25023195,73.16017493
Manipur,2369,24.79997072,93.95001705
Meghalaya,907,25.57049217,91.8800142
Mizoram,265,23.71039899,92.72001461
Nagaland,539,25.6669979,94.11657019
Orissa,34293,19.82042971,85.90001746
Puducherry,469,11.93499371,79.83000037
Punjab,10685,31.51997398,75.98000281
Rajasthan,40900,26.44999921,74.63998124
Sikkim,360,27.3333303,88.6166475
Tamil Nadu,16562,12.92038576,79.15004187
Tripura,1407,23.83540428,91.27999914
Uttar Pradesh,99318,27.59998069,78.05000565
Uttaranchal,3784,30.32040895,78.05000565
West Bengal,55181,22.58039044,88.329946
Gujarat,27839,22.2587,71.1924
Daman & Diu,49,20.4283,72.8397
